Cement,Blast_Furnance_Slag,Fly_Ash,Water,Super_Plasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Concrete_Strength
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28,40.93
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,38.46
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14,42.22
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28,44.33
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,56.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.81
325.6,166.4,0.0,174.0,8.9,881.6,790.0,28,61.24
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,25.12
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,40.66
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.07
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.18
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,90,35.76
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9
330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,24.29
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
